location_id,latitude,longitude,district,station_jurisdiction
LOC-fa94b86e,12.248301,76.616903,Mysuru,Mysuru Station 4
LOC-9963984c,15.850236,74.450354,Belagavi,Belagavi Station 6
LOC-9eddee38,15.330248,75.169721,Hubballi-Dharwad,Hubballi-Dharwad Station 1
LOC-debddecb,13.341523,77.164612,Tumakuru,Tumakuru Station 5
LOC-efc8be33,12.331332,76.676048,Mysuru,Mysuru Station 5
LOC-abb83e3d,12.306713,76.606514,Mysuru,Mysuru Station 1
LOC-d9f4033d,15.88188,74.528205,Belagavi,Belagavi Station 11
LOC-ed2cf155,13.302187,77.081263,Tumakuru,Tumakuru Station 3
LOC-7924c096,13.929252,75.593678,Shivamogga,Shivamogga Station 8
LOC-61f2aa9a,13.905041,75.573423,Shivamogga,Shivamogga Station 1
LOC-2c475c2b,15.411889,75.150196,Hubballi-Dharwad,Hubballi-Dharwad Station 9
LOC-ebf2e9db,13.971749,75.577994,Shivamogga,Shivamogga Station 10
LOC-c8e888c0,12.254365,76.637999,Mysuru,Mysuru Station 7
LOC-e167733d,15.892591,74.523227,Belagavi,Belagavi Station 2
LOC-d1ea1ed7,17.281803,76.839692,Kalaburagi,Kalaburagi Station 6
LOC-b47cff09,12.255493,76.632505,Mysuru,Mysuru Station 2
LOC-13e5539f,15.818859,74.501329,Belagavi,Belagavi Station 9
LOC-a1b34319,12.938064,77.544816,Bengaluru Urban,Bengaluru Urban Station 4
LOC-f22e7bd7,12.979518,77.59882,Bengaluru Urban,Bengaluru Urban Station 2
LOC-a60397df,12.870952,74.812796,Mangaluru,Mangaluru Station 10
LOC-ee0c9478,14.466678,75.965271,Davanagere,Davanagere Station 2
LOC-3ef1929e,17.308199,76.828118,Kalaburagi,Kalaburagi Station 2
LOC-56d22747,13.895445,75.546276,Shivamogga,Shivamogga Station 7
LOC-4e14b28c,15.319109,75.107356,Hubballi-Dharwad,Hubballi-Dharwad Station 12
LOC-dcf6fdc2,12.918659,74.88946,Mangaluru,Mangaluru Station 1
LOC-72cf862a,17.300708,76.809253,Kalaburagi,Kalaburagi Station 1
LOC-97a56ecd,12.937756,74.839219,Mangaluru,Mangaluru Station 4
LOC-fcc578a4,15.349815,75.124941,Hubballi-Dharwad,Hubballi-Dharwad Station 10
LOC-e1b15159,15.123969,76.950043,Ballari,Ballari Station 1
LOC-c21c2fe1,13.972458,75.571945,Shivamogga,Shivamogga Station 5
LOC-d4a508e1,15.144194,76.871441,Ballari,Ballari Station 4
LOC-c5bc5f46,13.927219,75.608218,Shivamogga,Shivamogga Station 4
LOC-47cf4138,15.814435,74.452321,Belagavi,Belagavi Station 3
LOC-fac8511a,13.301234,77.113764,Tumakuru,Tumakuru Station 8
LOC-659c63f0,13.313819,77.092024,Tumakuru,Tumakuru Station 6
LOC-155f4b8b,17.369003,76.792358,Kalaburagi,Kalaburagi Station 9
LOC-42b2061e,15.174745,76.966743,Ballari,Ballari Station 6
LOC-17217a9c,15.161818,76.955451,Ballari,Ballari Station 8
