person_id,name,role_in_case
P-0001,Person 0001,
P-0002,Person 0002,
P-0003,Person 0003,
P-0004,Person 0004,
P-0005,Person 0005,
P-0006,Person 0006,
P-0007,Person 0007,
P-0008,Person 0008,
P-0009,Person 0009,
P-0010,Person 0010,
P-0011,Person 0011,
P-0012,Person 0012,
P-0013,Person 0013,
P-0014,Person 0014,
P-0015,Person 0015,
P-0016,Person 0016,
P-0017,Person 0017,
P-0018,Person 0018,
P-0019,Person 0019,
P-0020,Person 0020,
P-0021,Person 0021,
P-0022,Person 0022,
P-0023,Person 0023,
P-0024,Person 0024,
P-0025,Person 0025,
P-0026,Person 0026,
P-0027,Person 0027,
P-0028,Person 0028,
P-0029,Person 0029,
P-0030,Person 0030,
P-0031,Person 0031,
P-0032,Person 0032,
P-0033,Person 0033,
P-0034,Person 0034,
P-0035,Person 0035,
P-0036,Person 0036,
P-0037,Person 0037,
P-0038,Person 0038,
P-0039,Person 0039,
P-0040,Person 0040,
P-0041,Person 0041,
P-0042,Person 0042,
P-0043,Person 0043,
P-0044,Person 0044,
P-0045,Person 0045,
P-0046,Person 0046,
P-0047,Person 0047,
P-0048,Person 0048,
P-0049,Person 0049,
P-0050,Person 0050,
P-0051,Person 0051,
P-0052,Person 0052,
P-0053,Person 0053,
P-0054,Person 0054,
P-0055,Person 0055,
P-0056,Person 0056,
P-0057,Person 0057,
P-0058,Person 0058,
P-0059,Person 0059,
P-0060,Person 0060,
P-0061,Person 0061,
P-0062,Person 0062,
P-0063,Person 0063,
P-0064,Person 0064,
P-0065,Person 0065,
P-0066,Person 0066,
P-0067,Person 0067,
P-0068,Person 0068,
P-0069,Person 0069,
P-0070,Person 0070,
P-0071,Person 0071,
P-0072,Person 0072,
P-0073,Person 0073,
P-0074,Person 0074,
P-0075,Person 0075,
